"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274590029614047232","","","","","2012-11-30 19:05:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Jetzt auch f?r Safari: http://t.co/4VJheCRE

?@qrios: Extension f?r Chrome: Leistungssch?tzer ausblenden http://t.co/wUaz7n8a #lsr?","http://www.stefanseiz.com/lsr/","http://qrios.de/2012/11/extension-fur-chrome-leistungsschutzer-ausblenden/"
"274561663796146176","","","","","2012-11-30 17:12:56 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Diese Ministerin MUSS gehen! ?@uknaus: Anschaubefehl! Nehmt Euch eine Minute Zeit; die Farce kommt bei 6:10 http://t.co/tY7oiRZq #Mollath?","http://youtu.be/5jFG7rN8l9g?t=5m15s"
"274475109773897728","274451529975619584","13257382","","","2012-11-30 11:29:00 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@mhenders Doesn?t reproduce here. Behaves correctly for me."
"274473660952223745","274400781510258688","15003368","","","2012-11-30 11:23:14 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@saimalkan Und warte mal ab, was die unter ?Terminen? verstehen ;-)"
"274471242445238272","","","","","2012-11-30 11:13:38 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Still coding with web standards. Every. Single. Day. 
#bbd12"
"274409246429421569","274407561535561728","15003368","","","2012-11-30 07:07:17 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@saimalkan tr?gt die Gemahlin aufm Weihnachtsmarkt. Leider ist der Brennstoff aus. Ich recherchiere."
"274407361815388160","","","","","2012-11-30 06:59:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Hot. http://t.co/CRADM3C1","http://twitpic.com/bhonnh"
"274260172749279232","274258972146561024","26879333","","","2012-11-29 21:14:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@Ludren hab bisher nur 1 Termin mit Tastatur eingegeben (sprechen soll auch gehen). Ging klasse."
"274255028024401920","","","","","2012-11-29 20:54:28 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Endlich ein ordentlicher Kalender auf iOS. #fantastical"
"274235588855599105","274235338753470464","14070881","","","2012-11-29 19:37:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jdriscoll It was pretty hidden indeed ;)"
"274234877178683392","274234401062273024","14070881","","","2012-11-29 19:34:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jdriscoll you could already do manual, local backups before, even when iCloud backup was turned on. Just had to right click on the phone."
"274233557327695872","274229902889340929","14070881","","","2012-11-29 19:29:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@jdriscoll curious about what exactly ?Most important data? means."
"274190300472299520","274131133007024128","14952125","","","2012-11-29 16:37:16 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@peate Mit meinen Einstellungen auf meinem i7 Air ist es OK. Schau mal: http://t.co/lfWI9U56","http://twitter.com/seiz/status/274190300472299520/photo/1"
"274107785648693248","274067889106075648","18340955","","","2012-11-29 11:09:23 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@SuGGuS Danke, geht schon."
"274046589180444672","","","","","2012-11-29 07:06:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Massives 1. Welt Problem, das heute behoben werden muss. Hat was mit einer Tasche zu tun."
"273863689176756226","273862537320202240","18550277","","","2012-11-28 18:59:26 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@hardgraft maybe I could get the 11? to fit if I used a hammer or a wrench. ;)"
"273863491625025536","273862537320202240","18550277","","","2012-11-28 18:58:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@hardgraft Thanks. Well, I have an 11? Air and it doesn?t fit. See the email I sent you meanwhile. Includes a photo showing the problem."
"273831806774693888","","18550277","","","2012-11-28 16:52:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@hardgraft hi, just received my 11? MB Air bag. It is beautiful, but too small for an 11? Air. Suggestions? http://t.co/pEgFjaxP","http://twitpic.com/bh9ivw"
"273825786744676355","","","","","2012-11-28 16:28:49 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Oh, post von hard graft :)"
"273773027706150912","","13889622","","","2012-11-28 12:59:10 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@lukew FYI: http://t.co/3oCJsOMU returns a 502","http://www.lukew.com"
"273498212915101696","273495776351633408","33423","","","2012-11-27 18:47:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@gruber Not to mention rendering errors."
"273497597052850176","","","","","2012-11-27 18:44:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Vrdmt. Weder Nelken noch ein Gew?rzs?ckchen im Haus. Mach ich das Rotkraut eben mit Zimt, Vanille und Orange."
"273470492843839488","273405952609361921","16060329","","","2012-11-27 16:57:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@qrios das ist ja noch besser als Gamecenter (To != Bis): http://t.co/VfhbYcqs","http://twitpic.com/bgzi2t"
"273316411647078400","","","","","2012-11-27 06:44:45 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","That Apple Retail Video. Pathetic."
"273162461409050624","273157007886929920","16745703","","","2012-11-26 20:33:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@x34dash alles Ok bei Dir?"
"273139237132574720","","","","","2012-11-26 19:00:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Erstklassig! Radi-Aid ? Africa for Norway: http://t.co/dLIS3JvG","http://bit.ly/QGVR2B"
"273111093696667648","273085465433886721","7907312","","","2012-11-26 17:08:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@uknaus macht der das remote oder hat er sich aus der Botschaft geschmuggelt?"
"272807609944395776","272779643810111488","8783762","","","2012-11-25 21:02:57 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@markus_siepmann eben, z.B. mit den 5? T-Shirts von H&amp;M und anderen."
"272763891027701760","272756174468833280","18340955","","","2012-11-25 18:09:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@SuGGuS haste kein Kabel?"
